Date,Dividends,Stock Splits
28-10-2004,0.375,0
03-02-2005,0.4375,0
06-07-2005,0.625,0
18-08-2005,0.375,0
18-10-2005,0.375,0
18-01-2006,0.375,0
16-06-2006,0.5625,0
28-07-2006,0.375,2
23-10-2006,0.75,0
22-01-2007,0.75,0
15-06-2007,1,0
27-07-2007,0.75,0
22-10-2007,0.75,0
23-01-2008,0.75,0
18-06-2008,1.25,0
31-07-2008,0.75,0
29-10-2008,0.75,0
28-01-2009,0.75,0
16-06-2009,1.25,2
27-07-2009,1,0
28-10-2009,1,0
27-01-2010,1,0
15-06-2010,5,0
29-07-2010,1,0
01-11-2010,1,0
27-01-2011,1,0
08-06-2011,4,0
28-07-2011,1.5,0
25-10-2011,1.5,0
25-01-2012,1.5,0
07-06-2012,4,0
23-07-2012,1.5,0
31-10-2012,1.5,0
23-01-2013,1.5,0
06-06-2013,6.5,0
29-07-2013,2,0
25-10-2013,2,0
27-01-2014,2,0
06-06-2014,10,0
28-07-2014,20,0
29-10-2014,2.5,0
27-01-2015,2.5,0
05-06-2015,12,0
20-07-2015,2.75,0
21-10-2015,5.5,0
23-10-2015,2.75,0
21-01-2016,2.75,0
06-06-2016,13.5,0
25-07-2016,3.25,0
24-10-2016,3.25,0
23-01-2017,3.25,0
13-06-2017,13.75,0
24-07-2017,3.5,0
25-10-2017,3.5,0
22-01-2018,3.5,0
31-05-2018,14.5,2
17-07-2018,4,0
23-10-2018,4,0
17-01-2019,4,0
04-06-2019,18,0
16-07-2019,5,0
17-10-2019,40,0
23-01-2020,5,0
19-03-2020,12,0
03-06-2020,6,0
16-07-2020,5,0
14-10-2020,12,0
14-01-2021,6,0
25-05-2021,15,0
15-07-2021,7,0
